Code_Agence,Nom_Agence,Stock_Minimum_XAF,Stock_Minimum_Millions,Methode,Nb_Observations,Min_M,P1_M,P5_M,P10_M,P25_M,P50_Mediane_M,P75_M,P90_M,P95_M,P99_M,Max_M,Moyenne_M,Ecart_Type_M
00001,FIRST BANK HIPPODROME,-9045841147.59656,-9045.84,Percentile 5 (P5) - Standard Bale III,157,-11404.62,-10343.64,-9045.84,-8424.26,-6082.68,-4679.63,-3527.18,-2779.05,-2363.58,-1941.21,-1569.75,-5012.47,2031.27
00005,FIRST BANK MESSA,-800431419.26,-800.43,Percentile 5 (P5) - Standard Bale III,157,-1210.01,-1040.55,-800.43,-751.86,-675.13,-582.36,-498.32,-384.08,-357.47,-316.93,-259.19,-590.57,147.4
00010,FIRST BANK RETRAITE,-1145845263.34,-1145.85,Percentile 5 (P5) - Standard Bale III,157,-1849.11,-1445.76,-1145.85,-1020.8,-866.9,-732.62,-586.36,-517.75,-459.18,-356.02,-261.6,-753.52,228.97
00021,FIRST BANK ETOUDI,-887189508.8,-887.19,Percentile 5 (P5) - Standard Bale III,157,-1353.4,-1243.65,-887.19,-822.01,-724.06,-619.02,-525.78,-427.97,-367.36,-309.41,-298.24,-634.9,175.62
00024,FIRST BANK BIYEM-ASSI,-671026986.2,-671.03,Percentile 5 (P5) - Standard Bale III,157,-4515.11,-847.67,-671.03,-631.81,-570.5,-485.72,-382.8,-306.4,-259.83,-182.9,-108.43,-498.16,347.79
00026,FIRST BANK MVOG-MBI,-749998415.504,-750.0,Percentile 5 (P5) - Standard Bale III,157,-1040.21,-865.69,-750.0,-658.82,-577.24,-481.25,-412.87,-329.21,-300.0,-238.16,-220.11,-496.96,140.14
00031,FIRST BANK BERTOUA,-2629349484.0,-2629.35,Percentile 5 (P5) - Standard Bale III,157,-3794.12,-3250.34,-2629.35,-2352.48,-1912.31,-1532.63,-1101.26,-744.9,-618.43,-404.73,-385.23,-1546.79,627.33
00033,FIRST BANK MIMBOMAN,-607362832.35,-607.36,Percentile 5 (P5) - Standard Bale III,157,-709.43,-667.14,-607.36,-558.39,-514.97,-430.02,-375.54,-318.81,-297.44,-279.84,-256.86,-442.08,95.33
00034,FIRST BANK MENDONG,-581257157.444,-581.26,Percentile 5 (P5) - Standard Bale III,157,-822.26,-666.78,-581.26,-522.36,-483.38,-411.64,-333.63,-295.88,-255.39,-219.07,-164.97,-412.01,100.0
00037,FIRST BANK EBOLOWA,-1126391276.8,-1126.39,Percentile 5 (P5) - Standard Bale III,157,-1643.47,-1466.96,-1126.39,-1052.24,-895.67,-753.91,-641.18,-540.27,-430.43,-364.8,-288.04,-776.48,219.56
00038,FIRST BANK BASTOS,-609224908.6800001,-609.22,Percentile 5 (P5) - Standard Bale III,157,-788.39,-736.89,-609.22,-558.05,-447.21,-375.36,-289.21,-219.92,-182.45,-142.95,-122.04,-378.63,129.18
00039,FIRST BANK ESSOS,-689110248.73,-689.11,Percentile 5 (P5) - Standard Bale III,157,-1004.82,-812.95,-689.11,-653.12,-568.82,-494.88,-419.8,-382.43,-353.95,-311.46,-305.72,-504.18,110.64
00040,FIRST BANK MFOUNDI,-613643091.26,-613.64,Percentile 5 (P5) - Standard Bale III,157,-1012.59,-722.11,-613.64,-569.99,-505.53,-441.14,-369.22,-323.94,-287.8,-235.86,-213.56,-444.03,107.22
00042,FIRST BANK FENETRE ISLAMIQUE YAOUNDE,-180712877.4,-180.71,Percentile 5 (P5) - Standard Bale III,157,-298.01,-261.19,-180.71,-150.15,-119.51,-76.2,-55.91,-42.22,-34.33,-27.24,-23.96,-92.25,49.36
00043,FIRST BANK MESSAMENDONGO,-648204328.04,-648.2,Percentile 5 (P5) - Standard Bale III,157,-1020.24,-778.03,-648.2,-603.89,-542.11,-489.17,-415.85,-355.67,-306.23,-271.0,-202.74,-485.26,109.29
00045,FIRST BANK OMNISPORT,-788263786.8,-788.26,Percentile 5 (P5) - Standard Bale III,157,-1360.7,-878.31,-788.26,-744.29,-611.28,-514.14,-420.75,-355.43,-323.55,-273.89,-248.52,-531.38,155.02
00046,FIRST BANK MARCHE CENTRAL,-823271450.8,-823.27,Percentile 5 (P5) - Standard Bale III,157,-1059.76,-1013.88,-823.27,-769.45,-639.12,-562.91,-463.23,-387.59,-333.95,-294.54,-266.28,-570.04,154.64
00055,FIRST BANK OLEMBE,-575030140.6,-575.03,Percentile 5 (P5) - Standard Bale III,157,-778.79,-688.39,-575.03,-543.28,-499.34,-432.58,-389.4,-363.7,-346.74,-302.88,-264.5,-446.11,78.68
00056,FIRST BANK MELEN,-438857182.2,-438.86,Percentile 5 (P5) - Standard Bale III,157,-558.43,-496.45,-438.86,-400.78,-340.88,-285.73,-231.44,-185.78,-172.3,-137.66,-107.48,-290.17,81.83
00057,FIRST BANK DAMAS,-589852965.696,-589.85,Percentile 5 (P5) - Standard Bale III,157,-697.27,-673.95,-589.85,-530.1,-475.69,-393.14,-312.17,-260.71,-247.1,-203.02,-158.36,-395.61,108.77
00062,FIRST BANK MVAN,-543250686.11,-543.25,Percentile 5 (P5) - Standard Bale III,157,-794.49,-594.92,-543.25,-513.75,-456.46,-357.53,-305.22,-261.93,-248.5,-216.01,-190.48,-378.81,98.57
00063,FIRST BANK NKOABANG,-510638502.8,-510.64,Percentile 5 (P5) - Standard Bale III,157,-631.65,-596.28,-510.64,-477.38,-432.82,-367.8,-310.24,-268.28,-240.32,-206.04,-191.58,-372.65,86.5
00064,FIRST BANK NKOLBISSON,-584739502.47,-584.74,Percentile 5 (P5) - Standard Bale III,157,-986.97,-678.4,-584.74,-536.62,-472.85,-396.1,-335.84,-284.53,-251.66,-187.85,-181.76,-408.41,109.65
00073,FIRST BANK AHALA,-564759646.28,-564.76,Percentile 5 (P5) - Standard Bale III,157,-979.65,-690.72,-564.76,-518.9,-460.7,-386.2,-329.85,-271.96,-248.7,-229.44,-183.61,-398.7,108.67
00075,FIRST BANK BIYEM-ASSI CARREFOU,-564241746.84,-564.24,Percentile 5 (P5) - Standard Bale III,157,-1117.96,-665.31,-564.24,-499.68,-442.72,-368.76,-306.67,-261.74,-228.39,-192.95,-183.32,-381.74,115.14
00079,FIRST BANK MOKOLO,-544756010.436,-544.76,Percentile 5 (P5) - Standard Bale III,157,-973.26,-701.52,-544.76,-500.16,-421.53,-356.07,-272.09,-228.44,-195.68,-146.65,-125.54,-357.24,121.81
00081,FIRST BANK CAMAIR,-547239401.55,-547.24,Percentile 5 (P5) - Standard Bale III,157,-796.62,-667.22,-547.24,-517.31,-459.21,-407.99,-366.33,-320.91,-291.02,-251.52,-205.69,-415.84,83.72
00085,FIRST BANK MFOU,-327576952.55,-327.58,Percentile 5 (P5) - Standard Bale III,118,-353.68,-337.3,-327.58,-320.79,-297.85,-238.79,-198.2,-155.8,-144.73,-116.43,-101.1,-242.44,59.32
00087,FIRST BANK AWAE,-531872319.74,-531.87,Percentile 5 (P5) - Standard Bale III,128,-625.86,-586.88,-531.87,-505.2,-454.0,-408.33,-350.42,-300.59,-279.31,-255.18,-224.43,-404.76,78.15
